Year,Week_Num,Begin_Month,Begin_Day,Vacation_Count,Count,Forword 1,Forword 2,Forword 3,Forword 4,Forword 5,Forword 6,Forword 7,Forword 8,Vacation_Factor,Scored Label Mean,Scored Label Standard 
2015,2,1,4,0,420,269,351,400,440,348,368,425,281,0.285714,399.71875,37.763264
2015,3,1,11,0,435,420,269,351,400,440,348,368,425,0.285714,375.479167,43.624219
2015,4,1,18,0,311,435,420,269,351,400,440,348,368,0.285714,367.354167,39.117916
2015,5,1,25,0,342,311,435,420,269,351,400,440,348,0.285714,324.854167,80.243961
2015,6,2,1,0,336,342,311,435,420,269,351,400,440,0.285714,381.729167,29.737619
2015,7,2,8,0,290,336,342,311,435,420,269,351,400,0.285714,369.833333,79.354383
2015,8,2,15,5,105,290,336,342,311,435,420,269,351,1,134.125,107.808625
2015,9,2,22,0,319,105,290,336,342,311,435,420,269,0.285714,309.78125,99.272763
2015,10,3,1,0,359,319,105,290,336,342,311,435,420,0.285714,360.604167,81.255083
2015,11,3,8,0,330,359,319,105,290,336,342,311,435,0.285714,350.854167,55.349674
2015,12,3,15,0,377,330,359,319,105,290,336,342,311,0.285714,312.09375,55.650968
2015,13,3,22,0,353,377,330,359,319,105,290,336,342,0.285714,349.041667,51.498432
2015,14,3,29,0,361,353,377,330,359,319,105,290,336,0.285714,378.78125,71.104322
2015,15,4,5,1,282,361,353,377,330,359,319,105,290,0.428571,245.8125,77.206993
2015,16,4,12,0,291,282,361,353,377,330,359,319,105,0.285714,346.083333,55.602258
2015,17,4,19,0,387,291,282,361,353,377,330,359,319,0.285714,372.75,43.037048
2015,18,4,26,1,258,387,291,282,361,353,377,330,359,0.428571,236.1875,55.512351
2015,19,5,3,0,365,258,387,291,282,361,353,377,330,0.285714,305.21875,120.968652
2015,20,5,10,0,399,365,258,387,291,282,361,353,377,0.285714,355.083333,45.142906
2015,21,5,17,1,291,399,365,258,387,291,282,361,353,0.428571,236.541667,68.929853
2015,22,5,24,0,366,291,399,365,258,387,291,282,361,0.285714,332.927083,47.407136
2015,23,5,31,0,295,366,291,399,365,258,387,291,282,0.285714,393.416667,64.583172
2015,24,6,7,0,340,295,366,291,399,365,258,387,291,0.285714,349.979167,87.354857
2015,25,6,14,0,304,340,295,366,291,399,365,258,387,0.285714,385.947917,43.984825
2015,26,6,21,0,220,304,340,295,366,291,399,365,258,0.285714,303.96875,67.789707
2015,27,6,28,0,169,220,304,340,295,366,291,399,365,0.285714,197.947917,152.70366
